path,ext,loc,commits,churn,decisions,issues,issue_detail,owner,owner_pct,authors,origin,risk
src/modules/visitor management/pages/VisitorValidation/ValidationDetails.tsx,tsx,335,1,334,50,3,console=3,Vaishnavi Nerella,100,1,copied:vms,8.8
src/modules/recruitment/InterviewsPage.tsx,tsx,227,1,226,19,8,any=8,Ravi-Shankar-ACS,100,1,authored,8.6
src/modules/approvals/ApprovalDetailPage.tsx,tsx,250,2,417,52,3,any=3,Ravi-Shankar-ACS,100,1,authored,8.4
src/modules/purchases/p2p/invoice/page.tsx,tsx,618,2,709,31,0,,Chaitanya2872,100,1,authored,8.4
src/modules/recruitment/JobPostingsPage.tsx,tsx,381,1,380,46,2,any=2,Ravi-Shankar-ACS,100,1,authored,8.4
src/modules/sales/orders/detail-page.tsx,tsx,454,3,1200,24,2,eslint_disable=1;use_client=1,Chaitanya2872,100,1,authored,8.4
src/modules/visitor management/pages/CheckInOut/CheckInOut.tsx,tsx,471,3,932,44,0,,Vaishnavi Nerella,100,1,copied:vms,8.4
src/modules/crm/leads/components/LeadLocationPickerDialog.tsx,tsx,560,2,745,36,0,,Chaitanya2872,100,1,authored,8.3
backend/services/forms-service/src/main/java/com/hirepath/forms/service/FormSubmissionService.java,java,324,1,323,43,3,broad_catch=3,Ravi-Shankar-ACS,100,1,copied:hirepath,8.2
src/modules/access/page.tsx,tsx,652,8,1073,18,0,,Chaitanya2872,98,2,authored,8.2
src/modules/visitor management/pages/VisitorVerification/VisitorVerification.tsx,tsx,357,1,356,57,0,,Vaishnavi Nerella,100,1,copied:vms,7.7
backend/services/inventory-service/src/main/java/com/fawnix/inventory/products/service/ProductService.java,java,456,4,463,43,0,,Chaitanya2872,100,1,authored,7.6
src/modules/recruitment/CandidatesPage.tsx,tsx,419,2,444,31,2,any=2,Ravi-Shankar-ACS,100,1,authored,7.6
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/controller/PublicApplyController.java,java,310,2,455,41,2,broad_catch=2,Ravi-Shankar-ACS,100,1,copied:hirepath,7.5
src/modules/purchases/p2p/payment/page.tsx,tsx,552,2,655,27,0,,Chaitanya2872,100,1,authored,7.5
src/modules/crm/leads/api.ts,ts,422,10,427,45,0,,Chaitanya2872,100,1,authored,7.4
backend/services/integration-service/src/main/java/com/hirepath/integration/service/CalendarEventService.java,java,301,1,300,59,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,7.3
ml/speech-to-text-service/app/voice_mom_updated.py,py,421,1,420,43,0,,Chaitanya2872,100,1,authored,7.3
src/modules/reports/page.tsx,tsx,511,9,1420,8,1,use_client=1,Chaitanya2872,100,1,authored,7.3
src/modules/task-management/workspace-page.tsx,tsx,415,1,414,35,1,use_client=1,Vaishnavi Nerella,100,1,authored,7.2
backend/services/crm-service/src/main/java/com/fawnix/crm/integrations/meta/MetaLeadClient.java,java,225,4,258,39,3,empty_catch=3,Chaitanya2872,100,1,authored,7.0
backend/services/approval-service/src/main/java/com/hirepath/approval/service/ApprovalQueryService.java,java,253,1,252,60,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,6.9
backend/services/sales-service/src/main/java/com/fawnix/sales/quotes/service/QuoteService.java,java,417,2,420,38,0,,Chaitanya2872,100,1,authored,6.9
src/lib/api.ts,ts,246,6,279,43,2,any=2,Ravi-Shankar-ACS,68,2,authored,6.9
src/modules/recruitment/CandidatePipelinePage.tsx,tsx,249,2,486,39,2,any=2,Ravi-Shankar-ACS,100,1,authored,6.8
src/modules/crm/leads/components/LeadReminderSheets.tsx,tsx,456,1,455,30,0,,Chaitanya2872,100,1,authored,6.7
src/modules/purchases/api.ts,ts,421,5,420,32,0,,Chaitanya2872,98,2,authored,6.5
