path,loc,dup_lines,dup_pct,owner
backend/services/forms-service/src/main/java/com/hirepath/forms/client/dto/NotificationEventRequest.java,154,70,45,Ravi-Shankar-ACS
backend/services/identity-service/src/main/java/com/fawnix/identity/security/config/SecurityConfig.java,111,70,63,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/common/exception/GlobalExceptionHandler.java,127,70,55,Chaitanya2872
backend/src/main/java/com/fawnix/verse/security/config/SecurityConfig.java,99,70,71,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/InterviewFeedbackRequest.java,90,66,73,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/PostingCreateRequest.java,91,66,73,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/PostingUpdateRequest.java,82,66,80,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/remarks/entity/LeadRemarkVersionEntity.java,83,65,78,Chaitanya2872
backend/src/main/java/com/fawnix/verse/activities/entity/LeadActivityEntity.java,92,64,70,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/PurchaseRequisitionItem.java,149,63,42,Chaitanya2872
backend/services/approval-service/src/main/java/com/hirepath/approval/dto/ApprovalRequestSummaryResponse.java,166,62,37,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/auth/service/AuthService.java,109,62,57,Chaitanya2872
src/modules/purchases/p2p/receipt/page.tsx,449,61,14,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/client/dto/ApprovalFlowResponse.java,104,60,58,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/common/config/DataSeeder.java,237,60,25,Chaitanya2872
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/domain/ApprovalRequest.java,230,59,26,Ravi-Shankar-ACS
